age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
21.0,4.0,397571.0,8.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,15.0,1.0,0.0
25.0,1.0,355627.0,11.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0
31.0,4.0,118819.0,8.0,1.0,5.0,3.0,1.0,0.0,7.0,0.0,40.0,1.0,0.0
58.0,3.0,231245.0,8.0,0.0,2.0,1.0,1.0,1.0,1.0,706.0,36.0,1.0,0.0
24.0,4.0,188973.0,12.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0
29.0,4.0,197926.0,9.0,1.0,1.0,0.0,1.0,0.0,14.0,0.0,14.0,1.0,0.0
31.0,4.0,120165.0,8.0,0.0,5.0,1.0,1.0,0.0,159.0,0.0,55.0,0.0,0.0
27.0,4.0,200993.0,10.0,1.0,2.0,1.0,1.0,1.0,28.0,0.0,46.0,1.0,0.0
26.0,4.0,157472.0,13.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,50.0,1.0,0.0
31.0,4.0,241463.0,8.0,1.0,1.0,1.0,1.0,0.0,126.0,0.0,40.0,1.0,0.0
43.0,4.0,117924.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0
33.0,4.0,222515.0,8.0,3.0,6.0,2.0,1.0,0.0,201.0,0.0,40.0,0.0,0.0
55.0,4.0,79213.0,8.0,3.0,3.0,2.0,1.0,0.0,17.0,0.0,40.0,1.0,0.0
59.0,3.0,128927.0,4.0,0.0,1.0,1.0,1.0,1.0,47.0,0.0,40.0,1.0,0.0
24.0,1.0,344956.0,8.0,1.0,1.0,3.0,1.0,0.0,1.0,450.0,49.0,1.0,0.0
38.0,4.0,190060.0,10.0,3.0,2.0,2.0,1.0,0.0,3395.0,0.0,45.0,1.0,1.0
35.0,4.0,343531.0,9.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,62.0,1.0,0.0
51.0,4.0,87719.0,6.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0
49.0,4.0,297698.0,8.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,40.0,1.0,0.0
49.0,5.0,269111.0,9.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0
62.0,2.0,111704.0,8.0,3.0,2.0,2.0,1.0,0.0,3.0,0.0,39.0,1.0,0.0
31.0,4.0,47328.0,5.0,3.0,1.0,2.0,1.0,0.0,9.0,0.0,40.0,1.0,0.0
50.0,4.0,56055.0,8.0,0.0,5.0,1.0,1.0,1.0,15.0,0.0,46.0,1.0,0.0
31.0,4.0,321611.0,8.0,3.0,1.0,2.0,1.0,0.0,7.0,0.0,40.0,1.0,0.0
41.0,1.0,120882.0,12.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0
25.0,4.0,153532.0,9.0,1.0,1.0,1.0,1.0,1.0,25.0,0.0,40.0,1.0,0.0
39.0,2.0,116247.0,8.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,40.0,1.0,0.0
44.0,4.0,71967.0,8.0,3.0,1.0,2.0,1.0,0.0,0.0,4.0,60.0,1.0,0.0
24.0,4.0,419849.0,6.0,3.0,3.0,2.0,1.0,0.0,6.0,0.0,40.0,0.0,0.0
37.0,4.0,285964.0,3.0,0.0,1.0,1.0,1.0,0.0,43.0,0.0,44.0,1.0,0.0
35.0,4.0,131371.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,50.0,1.0,0.0
42.0,4.0,276089.0,5.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,46.0,1.0,0.0
61.0,4.0,199283.0,8.0,3.0,1.0,2.0,1.0,0.0,14.0,0.0,45.0,1.0,0.0
18.0,4.0,217588.0,6.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0
48.0,1.0,180456.0,12.0,1.0,1.0,3.0,1.0,0.0,8.0,0.0,40.0,1.0,0.0
41.0,4.0,290672.0,8.0,0.0,1.0,3.0,1.0,1.0,8.0,0.0,46.0,1.0,0.0
45.0,5.0,342585.0,9.0,3.0,1.0,2.0,1.0,0.0,12.0,0.0,40.0,1.0,0.0
57.0,4.0,175847.0,8.0,3.0,1.0,2.0,1.0,0.0,6.0,0.0,40.0,1.0,0.0
38.0,4.0,237670.0,12.0,1.0,6.0,1.0,1.0,0.0,6.0,0.0,40.0,1.0,0.0
49.0,4.0,78683.0,3.0,1.0,2.0,1.0,1.0,0.0,9.0,0.0,42.0,1.0,0.0
23.0,4.0,155686.0,10.0,1.0,2.0,3.0,1.0,1.0,8.0,0.0,40.0,1.0,0.0
26.0,4.0,192016.0,8.0,3.0,2.0,2.0,1.0,0.0,342.0,0.0,40.0,1.0,0.0
33.0,4.0,168340.0,8.0,3.0,1.0,2.0,1.0,0.0,8.0,0.0,40.0,1.0,0.0
31.0,4.0,43424.0,8.0,3.0,1.0,2.0,1.0,0.0,5.0,0.0,40.0,1.0,0.0
22.0,4.0,138362.0,9.0,1.0,5.0,3.0,1.0,1.0,287.0,0.0,45.0,1.0,0.0
25.0,4.0,105684.0,9.0,0.0,2.0,0.0,1.0,1.0,23.0,0.0,40.0,1.0,0.0
31.0,6.0,162458.0,13.0,1.0,6.0,1.0,0.0,0.0,3.0,0.0,40.0,0.0,0.0
60.0,4.0,291975.0,9.0,0.0,3.0,1.0,1.0,0.0,5.0,0.0,40.0,1.0,0.0
21.0,4.0,222816.0,9.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,24.0,1.0,0.0
50.0,4.0,228590.0,8.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,38.0,1.0,0.0
35.0,4.0,188860.0,9.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,45.0,1.0,0.0
26.0,4.0,113398.0,9.0,1.0,1.0,3.0,1.0,0.0,22.0,0.0,40.0,1.0,0.0
36.0,4.0,174986.0,9.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
29.0,2.0,64975.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1613.0,92.0,1.0,0.0
45.0,6.0,118001.0,9.0,3.0,2.0,2.0,1.0,0.0,5.0,0.0,40.0,1.0,0.0
40.0,5.0,56949.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0
33.0,2.0,208745.0,12.0,1.0,6.0,1.0,1.0,1.0,5.0,0.0,40.0,1.0,0.0
34.0,4.0,83123.0,9.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0
68.0,5.0,31722.0,10.0,0.0,1.0,1.0,1.0,0.0,1129.0,0.0,60.0,1.0,0.0
46.0,4.0,50205.0,14.0,0.0,6.0,3.0,1.0,1.0,19.0,0.0,40.0,1.0,0.0
19.0,4.0,247398.0,8.0,1.0,1.0,3.0,1.0,1.0,14.0,0.0,40.0,1.0,0.0
19.0,4.0,308970.0,8.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,40.0,1.0,0.0
36.0,4.0,164747.0,8.0,0.0,5.0,3.0,0.0,0.0,123.0,0.0,77.0,0.0,0.0
66.0,4.0,118464.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,40.0,1.0,0.0
40.0,3.0,272622.0,9.0,1.0,1.0,1.0,1.0,0.0,39.0,0.0,40.0,1.0,0.0
37.0,4.0,131645.0,9.0,0.0,2.0,3.0,1.0,0.0,4.0,0.0,45.0,1.0,0.0
26.0,4.0,132712.0,12.0,1.0,6.0,1.0,0.0,1.0,2.0,0.0,45.0,0.0,0.0
28.0,4.0,134019.0,12.0,1.0,2.0,1.0,1.0,0.0,6.0,0.0,40.0,1.0,0.0
31.0,4.0,188870.0,8.0,3.0,2.0,2.0,1.0,0.0,19.0,0.0,40.0,1.0,0.0
53.0,4.0,174212.0,8.0,3.0,1.0,2.0,1.0,0.0,4.0,0.0,40.0,1.0,0.0
35.0,4.0,148678.0,11.0,1.0,2.0,3.0,1.0,0.0,84.0,0.0,40.0,1.0,0.0
31.0,4.0,106683.0,9.0,1.0,1.0,1.0,1.0,1.0,26.0,0.0,45.0,1.0,0.0
24.0,4.0,151256.0,8.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,40.0,1.0,0.0
51.0,1.0,140008.0,13.0,0.0,1.0,3.0,1.0,1.0,41.0,0.0,35.0,1.0,0.0
34.0,2.0,923716.0,12.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0
35.0,4.0,161768.0,3.0,3.0,1.0,2.0,1.0,0.0,10.0,3.0,51.0,1.0,0.0
22.0,4.0,221417.0,12.0,1.0,2.0,0.0,1.0,1.0,102.0,0.0,20.0,1.0,0.0
32.0,2.0,173262.0,13.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0
33.0,4.0,122229.0,8.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,26.0,1.0,0.0
30.0,5.0,205651.0,7.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,40.0,1.0,0.0
46.0,4.0,157945.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0
27.0,5.0,184589.0,9.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,32.0,1.0,0.0
55.0,4.0,114686.0,13.0,3.0,6.0,2.0,1.0,1.0,5.0,0.0,42.0,1.0,0.0
55.0,4.0,135486.0,8.0,3.0,1.0,2.0,0.0,0.0,18.0,0.0,40.0,1.0,0.0
33.0,4.0,113785.0,9.0,1.0,1.0,3.0,1.0,1.0,13.0,1600.0,40.0,1.0,0.0
37.0,5.0,310316.0,10.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,40.0,1.0,0.0
28.0,4.0,213202.0,8.0,3.0,1.0,2.0,1.0,0.0,6.0,0.0,40.0,1.0,0.0
27.0,4.0,151073.0,8.0,3.0,1.0,2.0,1.0,0.0,4.0,0.0,40.0,1.0,0.0
51.0,4.0,115714.0,4.0,1.0,1.0,1.0,1.0,0.0,29.0,0.0,18.0,1.0,0.0
37.0,4.0,211956.0,8.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,25.0,1.0,0.0
18.0,4.0,218541.0,9.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,40.0,1.0,0.0
27.0,4.0,125200.0,12.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,0.0
25.0,5.0,423982.0,8.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,53.0,1.0,0.0
