age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
53.0,4.0,199378.0,9.0,0.0,1.0,1.0,1.0,1.0,21.0,0.0,39.0,1.0,0.0
23.0,4.0,69646.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,55.0,1.0,0.0
20.0,4.0,169170.0,9.0,1.0,5.0,1.0,1.0,0.0,5.0,0.0,40.0,1.0,0.0
43.0,4.0,289934.0,9.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0
42.0,1.0,149450.0,8.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0
41.0,4.0,82954.0,9.0,0.0,2.0,1.0,1.0,1.0,0.0,1633.0,55.0,1.0,0.0
36.0,4.0,149023.0,8.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0
60.0,4.0,251707.0,9.0,3.0,1.0,2.0,1.0,0.0,18.0,1.0,40.0,1.0,0.0
34.0,4.0,158004.0,8.0,3.0,2.0,1.0,1.0,0.0,34.0,0.0,55.0,0.0,0.0
47.0,4.0,140666.0,8.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0
64.0,4.0,154434.0,13.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,31.0,1.0,0.0
34.0,4.0,146812.0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
44.0,4.0,243578.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36.0,1.0,0.0
42.0,5.0,142119.0,9.0,0.0,1.0,3.0,1.0,1.0,8.0,0.0,10.0,1.0,0.0
47.0,1.0,135923.0,9.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,40.0,1.0,0.0
26.0,4.0,186357.0,8.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,36.0,1.0,0.0
53.0,4.0,149768.0,8.0,0.0,1.0,3.0,0.0,1.0,8.0,0.0,25.0,1.0,0.0
33.0,4.0,124506.0,12.0,1.0,2.0,1.0,1.0,1.0,69.0,0.0,40.0,1.0,0.0
