age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
17.0,4,303787.9,5,0,3,0,0,0,0.0,0.0,38.0,0,0
30.408268,4,296807.97,13,0,3,0,0,1,0.0,0.0,40.0,1,0
28.0,1,415519.47,8,0,3,0,0,1,4318.4004,0.0,40.0,1,0
17.0,4,393617.4,7,0,3,3,0,0,0.0,0.0,16.0,1,0
36.0,4,35352.83,10,0,3,0,1,1,0.0,0.0,30.0,1,0
44.0,4,136794.94,9,-1,3,2,1,1,0.0,0.0,40.0,0,0
27.0,4,204485.44,9,0,3,0,0,0,0.0,0.0,40.0,1,0
34.0,4,234924.7,9,0,4,3,0,0,0.0,1669.8085,40.0,1,0
38.0,4,129589.29,9,2,2,1,0,0,0.0,0.0,45.150345,1,0
24.0,5,111656.96,7,-1,2,2,-1,1,0.0,0.0,75.194786,1,0
39.0,4,157991.42,10,-1,5,2,0,1,0.0,0.0,30.0,1,0
32.0,4,88571.93,9,-1,2,0,0,0,0.0,0.0,65.0,1,0
20.0,4,98071.125,9,0,2,3,0,0,0.0,0.0,20.0,1,0
40.0,4,278452.25,2,0,1,2,0,0,0.0,0.0,15.0,0,0
59.0,6,123291.47,5,2,1,1,0,0,0.0,0.0,40.0,1,0
19.0,2,608328.44,9,0,3,0,0,0,0.0,0.0,10.0,1,0
47.0,5,310986.7,9,2,2,1,1,0,0.0,0.0,40.0,0,0
23.0,4,231085.66,9,0,2,3,1,1,0.0,0.0,40.0,1,0
24.0,4,225154.58,9,2,6,1,0,0,0.0,0.0,40.0,1,0
19.0,4,68339.74,10,0,2,0,0,0,0.0,0.0,40.0,0,0
56.647102,1,39698.92,4,2,2,1,0,0,0.0,0.0,40.0,1,0
54.0,4,208309.03,12,2,6,1,0,0,0.0,0.0,65.0,1,0
55.0,5,206239.9,6,2,1,1,0,0,0.0,0.0,64.38013,1,0
39.0,4,379812.5,9,2,2,1,0,0,0.0,0.0,40.0,1,0
17.0,4,178951.11,6,0,2,3,0,0,0.0,0.0,20.0,1,0
56.209038,3,99062.84,9,2,2,1,0,0,0.0,0.0,20.0,1,0
59.0,4,120430.664,9,-1,2,-1,0,1,0.0,0.0,40.0,1,0
37.0,4,178193.08,9,-1,7,2,0,0,0.0,0.0,50.0,1,0
23.0,4,109541.195,13,0,7,3,0,1,0.0,0.0,40.0,1,0
32.0,4,201687.06,9,0,6,0,0,1,0.0,0.0,35.0,1,0
36.0,5,114117.25,14,0,7,0,0,0,0.0,0.0,24.0,1,0
