age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
42.0,2,384161.97737292206,14,-1,7,2,0,1,0.0,0.0,40.0,1,0
30.0,4,226836.88409238518,10,0,6,3,0,0,0.0,0.0,40.0,1,0
59.0,4,117146.6524591419,10,2,2,1,-1,0,0.0,0.0,40.0,0,0
38.0,2,38555.55650035151,13,0,7,0,0,1,0.0,0.0,40.0,1,0
18.0,4,107401.15121736076,10,0,2,-1,0,1,0.0,0.0,40.0,1,0
19.0,4,319994.7719420465,6,0,2,0,0,0,0.0,0.0,40.0,1,0
31.0,4,51877.09364178541,9,0,1,0,0,0,0.0,0.0,40.0,1,0
19.0,4,176947.8673287235,9,0,2,3,0,1,0.0,0.0,20.0,1,0
22.0,4,379571.50790496706,13,0,3,0,0,0,0.0,0.0,25.0,1,0
23.0,4,177282.58548715585,10,0,2,3,1,0,0.0,0.0,40.0,1,0
36.0,4,185915.84150059178,10,-1,2,3,0,0,0.0,1984.978068113434,40.0,1,0
42.0,4,273704.2512341429,9,2,3,1,0,0,0.0,0.0,40.0,1,0
19.0,4,145780.12485522003,6,0,2,3,0,0,0.0,0.0,40.0,1,0
35.0,4,117957.77711963962,14,0,5,0,-1,0,0.0,0.0,18.0,0,0
17.0,4,359856.6488108365,7,0,3,3,0,1,0.0,0.0,7.035633113476183,1,0
32.0,1,51566.53814293128,10,-1,3,2,0,1,0.0,0.0,40.0,1,0
48.4704199445876,5,195454.41590673785,10,2,2,1,0,0,0.0,0.0,61.05479923317316,1,0
28.0,4,292261.9373968301,13,0,7,0,1,0,0.0,0.0,40.0,1,0
27.0,4,326543.9888511718,9,2,2,1,0,0,0.0,0.0,40.0,1,0
59.60451808384294,4,304898.7698540113,6,2,3,1,1,0,0.0,0.0,40.0,1,0
23.0,4,209008.82463908615,9,0,2,0,0,1,0.0,0.0,30.0,1,0
19.0,4,278411.12048657966,10,0,3,3,0,1,0.0,0.0,20.0,1,0
32.0,2,317537.8782295988,9,0,2,0,0,1,0.0,0.0,40.0,1,0
28.0,4,190090.19012932925,10,2,2,1,0,0,0.0,0.0,40.0,1,0
57.0,4,146367.1947226409,9,2,3,1,1,0,0.0,0.0,40.0,0,0
31.0,4,239133.03610826697,9,2,3,1,0,0,0.0,0.0,55.0,1,0
50.0,4,139027.49295188018,9,2,3,1,0,0,0.0,0.0,30.0,1,0
25.0,4,118041.45338528288,13,0,3,0,0,0,0.0,0.0,50.0,1,0
58.0,5,133678.5768915118,10,2,2,1,0,0,0.0,0.0,65.0,1,0
17.0,4,106644.45901462737,9,0,3,3,0,1,0.0,0.0,15.0,1,0
50.0,4,292092.6860367339,10,2,3,1,0,0,0.0,0.0,35.0,1,0
38.0,4,408394.2095866288,10,-1,2,2,0,1,0.0,0.0,40.0,1,0
29.0,4,188339.42120288254,12,0,2,2,-1,0,0.0,0.0,45.0,0,0
72.0,1,115319.71850477367,9,-1,4,0,0,0,0.0,1603.5766644255118,15.0,1,0
39.0,1,243457.82936205776,14,-1,7,0,0,1,0.0,0.0,50.0,1,0
36.0,4,65459.366278099835,10,2,2,1,0,0,0.0,2010.6001006550064,45.0,1,0
63.0,4,145789.04125963262,10,-1,2,2,0,1,0.0,0.0,15.0,1,0
54.0,1,104443.97370169614,13,-1,6,0,0,0,3126.709601786204,0.0,40.0,1,0
28.0,4,171292.73103967638,10,0,2,3,0,0,0.0,0.0,20.0,1,0
59.0,4,476301.8519831918,9,2,2,1,0,0,0.0,0.0,40.0,1,0
26.0,4,327704.57668072113,13,0,3,0,0,1,0.0,1669.5375132763565,40.0,1,0
27.0,4,34117.288894502286,9,2,3,1,0,0,0.0,0.0,40.0,1,0
29.0,4,285021.5599845003,7,0,2,0,0,0,0.0,0.0,40.0,1,0
44.0,1,169892.00695467548,9,-1,3,0,0,1,0.0,0.0,50.0,1,0
41.0,4,103838.4437237634,9,2,6,1,0,0,0.0,0.0,40.0,1,0
30.0,4,65976.55080858267,9,2,2,1,0,0,0.0,2032.5856177110886,40.0,1,0
58.0,4,247306.3405556771,5,2,2,1,0,0,0.0,0.0,40.0,0,0
30.0,4,187539.91700979223,9,2,3,1,0,0,0.0,0.0,40.0,1,0
40.0,4,174774.9057871659,9,0,3,2,1,1,0.0,0.0,25.0,1,0
52.0,2,191251.55596443653,10,-1,2,0,0,1,0.0,0.0,35.0,1,0
33.0,4,69851.5215555596,15,0,7,0,0,1,0.0,0.0,40.0,1,0
38.0,4,154907.51907461646,9,2,2,1,1,1,0.0,0.0,35.0,1,0
57.0,4,267623.75973270595,7,-1,2,2,0,0,0.0,0.0,40.0,1,0
18.0,5,156130.76552868975,10,0,2,3,0,0,0.0,0.0,20.627246679900765,1,0
45.0,4,230985.4970027702,9,2,3,1,0,0,0.0,0.0,40.0,1,0
34.0,2,195521.6282771984,11,2,2,1,0,0,0.0,0.0,40.0,1,0
17.0,4,151878.61420205518,6,0,2,3,0,1,0.0,0.0,20.943852434963226,1,0
26.0,4,175193.85108874377,10,-1,2,0,1,0,0.0,0.0,45.0,1,0
24.0,1,154177.35855559225,9,0,2,2,1,0,0.0,0.0,40.0,1,0
42.0,4,198172.0629597383,9,-1,5,0,0,0,0.0,0.0,40.0,1,0
27.0,4,55132.92077014744,9,0,3,-1,0,1,0.0,0.0,40.0,1,0
22.0,4,261714.3684510089,10,0,3,3,0,1,0.0,0.0,35.0,1,0
53.0,4,98909.55883449713,6,-1,2,0,0,0,0.0,0.0,65.82225589461893,1,0
56.151469155931096,4,287002.3560608973,10,-1,2,2,0,1,0.0,0.0,50.0,1,0
29.0,4,164895.37220091902,9,0,3,2,1,1,0.0,0.0,40.0,1,0
59.0,4,78244.89660742665,9,2,2,1,0,0,0.0,0.0,40.0,1,0
23.0,4,317344.0876059255,9,0,3,3,0,0,0.0,2137.252047697438,40.0,1,0
30.0,4,182107.09845737167,13,2,6,1,0,0,0.0,0.0,40.0,1,0
38.0,4,330354.83098041,11,0,3,0,0,1,0.0,0.0,40.0,1,0
30.372240426008347,4,295667.2711474447,13,-1,6,0,0,1,0.0,0.0,48.0,1,0
41.0,1,35673.442610200036,9,2,2,1,0,0,0.0,0.0,40.0,1,0
26.0,4,162971.56063418734,11,0,6,0,0,1,0.0,0.0,30.0,1,0
22.0,4,369510.3045723235,9,0,2,0,0,0,3290.467142511667,0.0,24.0,1,0
36.0,4,140283.056307981,9,2,3,1,0,0,0.0,0.0,40.0,1,0
37.0,4,174382.3658335886,9,-1,3,2,0,1,0.0,0.0,34.43663215094199,1,0
21.0,4,316307.5101060972,11,0,2,3,0,1,0.0,0.0,30.0,1,0
31.0,4,133444.547818522,9,2,3,1,-1,0,0.0,0.0,40.0,0,0
40.0,4,201999.44897974687,11,1,2,0,0,0,0.0,0.0,40.0,1,0
